objId,flatsCount,buildingClass,wallMaterial,finishTypeCount,freePlan,parkingCount,objEnergyEfficiency
66745,150,Комфорт,Монолит-кирпич,1,Нет,0,A
66364,462,Комфорт,Монолит-кирпич,1,Нет,0,B
65899,6,Бизнес,Монолит-кирпич,1,Нет,0,B
65898,7,Бизнес,Монолит-кирпич,1,Нет,0,B
65897,6,Бизнес,Монолит-кирпич,1,Нет,0,B
65896,8,Бизнес,Монолит-кирпич,1,Нет,0,B
65895,5,Бизнес,Монолит-кирпич,1,Нет,0,B
65893,6,Бизнес,Монолит-кирпич,1,Нет,0,B
65892,6,Бизнес,Монолит-кирпич,1,Нет,0,B
65891,5,Бизнес,Монолит-кирпич,1,Нет,0,B
65888,6,Бизнес,Монолит-кирпич,1,Нет,0,B
65887,5,Бизнес,Монолит-кирпич,1,Нет,0,B
65885,6,Бизнес,Монолит-кирпич,1,Нет,0,B
65884,4,Бизнес,Монолит-кирпич,1,Нет,0,B
65883,6,Бизнес,Монолит-кирпич,1,Нет,0,B
65880,6,Бизнес,Монолит-кирпич,1,Нет,0,B
65879,6,Бизнес,Монолит-кирпич,1,Нет,0,B
65878,4,Бизнес,Монолит-кирпич,1,Нет,0,B
65876,6,Бизнес,Монолит-кирпич,1,Нет,0,B
65874,3,Бизнес,Монолит-кирпич,1,Нет,0,B
65873,2,Бизнес,Монолит-кирпич,1,Нет,0,B
65872,4,Бизнес,Монолит-кирпич,1,Нет,0,B
65867,4,Бизнес,Монолит-кирпич,1,Нет,0,B
65866,7,Бизнес,Монолит-кирпич,1,Нет,0,B
65862,4,Бизнес,Монолит-кирпич,1,Нет,0,B
65861,6,Бизнес,Монолит-кирпич,1,Нет,0,B
65859,2,Бизнес,Монолит-кирпич,1,Нет,0,B
65853,2,Бизнес,Монолит-кирпич,1,Нет,0,B
65852,2,Бизнес,Монолит-кирпич,1,Нет,0,B
65851,2,Бизнес,Монолит-кирпич,1,Нет,0,B
65849,2,Бизнес,Монолит-кирпич,1,Нет,0,B
65846,2,Бизнес,Монолит-кирпич,1,Нет,0,B
65844,2,Бизнес,Монолит-кирпич,1,Нет,0,B
65843,2,Бизнес,Монолит-кирпич,1,Нет,0,B
65576,78,Типовой,Другое,1,Нет,0,B
65430,786,Комфорт,Монолит-кирпич,1,Нет,0,C
65429,868,Комфорт,Монолит-кирпич,1,Нет,0,C
65427,928,Комфорт,Монолит-кирпич,1,Нет,0,C
65131,70,Комфорт,Другое,1,Нет,0,B
65116,396,Комфорт,Другое,1,Нет,0,B
65065,438,Комфорт,Монолит-кирпич,1,Нет,0,A
64852,180,Комфорт,Монолит-кирпич,1,Нет,0,B
64816,345,Комфорт,Другое,1,Нет,0,A
64815,83,Комфорт,Другое,1,Нет,0,A
64814,83,Комфорт,Другое,1,Нет,0,A
64813,309,Комфорт,Другое,1,Нет,0,A
64794,155,Комфорт,Панель,1,Нет,0,B
64752,638,Комфорт,Монолит-кирпич,1,Нет,0,B
64664,62,Комфорт,Монолит-кирпич,1,Нет,0,B
64657,62,Комфорт,Монолит-кирпич,1,Нет,0,B
64542,771,Комфорт,Монолит-кирпич,1,Нет,0,B
64530,692,Комфорт,Монолит-кирпич,1,Нет,0,A
64400,504,Комфорт,Монолит-кирпич,1,Нет,0,B
64245,779,Комфорт,Другое,1,Нет,182,A
64188,487,Комфорт,Монолит-кирпич,1,Нет,0,B
64057,156,Комфорт,Монолит,1,Нет,0,B
63936,1068,Комфорт,Монолит-кирпич,1,Нет,0,B
63751,373,Комфорт,Монолит-кирпич,1,Нет,0,C
63750,461,Комфорт,Монолит-кирпич,1,Нет,0,C
63650,205,Типовой,Панель,1,Нет,0,B
63649,136,Типовой,Панель,1,Нет,0,B
63648,120,Типовой,Монолит,1,Нет,0,B
63378,130,Бизнес,Монолит-кирпич,1,Нет,0,B
63376,168,Бизнес,Монолит-кирпич,1,Нет,0,B
63375,104,Бизнес,Монолит-кирпич,1,Нет,0,B
63300,874,Комфорт,Другое,1,Нет,0,B
63278,643,Комфорт,Монолит-кирпич,1,Нет,0,B
63138,924,Типовой,Монолит-кирпич,1,Нет,0,A
63135,672,Комфорт,Другое,1,Нет,192,B
63121,187,Комфорт,Другое,1,Нет,0,C
62921,596,Комфорт,Монолит-кирпич,1,Есть,0,C
62662,46,Типовой,Панель,1,Нет,0,B
62604,640,Типовой,Монолит-кирпич,1,Нет,0,C
62413,491,Комфорт,Монолит-кирпич,1,Нет,0,B
62248,831,Комфорт,Другое,1,Нет,0,C
62244,187,Комфорт,Другое,1,Нет,0,C
61995,252,Типовой,Монолит,1,Нет,0,B
61994,371,Комфорт,Панель,1,Нет,0,B
61993,89,Комфорт,Панель,1,Нет,0,B
61992,89,Комфорт,Панель,1,Нет,0,B
61991,89,Комфорт,Панель,1,Нет,0,B
61744,347,Комфорт,Монолит-кирпич,1,Нет,0,A
61706,52,Типовой,Панель,1,Нет,0,B
61660,83,Комфорт,Монолит-кирпич,1,Нет,0,A
61463,395,Комфорт,Другое,1,Нет,0,A
61455,186,Бизнес,Монолит-кирпич,1,Нет,0,B
61378,522,Комфорт,Другое,1,Нет,0,B
61191,223,Типовой,Панель,1,Нет,0,B
60881,140,Комфорт,Другое,1,Нет,0,A+
60878,44,Бизнес,Монолит-кирпич,1,Нет,0,B
60877,24,Бизнес,Монолит-кирпич,1,Нет,0,B
60786,115,Комфорт,Монолит-кирпич,1,Нет,0,C
60257,456,Комфорт,Монолит-кирпич,1,Нет,0,A
60256,167,Комфорт,Монолит-кирпич,1,Нет,0,A
60255,168,Комфорт,Монолит-кирпич,1,Нет,0,A
59946,918,Типовой,Монолит-кирпич,1,Нет,0,B
59940,904,Комфорт,Монолит-кирпич,1,Нет,222,B
59921,120,Комфорт,Монолит-кирпич,1,Нет,0,C
59920,207,Комфорт,Монолит-кирпич,1,Нет,0,C
59893,62,Бизнес,Монолит-кирпич,1,Нет,0,B
59678,117,Комфорт,Монолит-кирпич,1,Нет,0,B
59382,452,Комфорт,Панель,1,Нет,0,B
59364,605,Комфорт,Монолит-кирпич,1,Нет,51,A
59232,432,Комфорт,Другое,1,Нет,0,B
59231,234,Комфорт,Другое,1,Нет,0,B
59109,144,Комфорт,Блоки,1,Нет,0,B
59106,188,Комфорт,Другое,1,Нет,0,A+
58719,70,Комфорт,Панель,1,Нет,0,D
58717,252,Комфорт,Панель,1,Нет,0,D
