iter	RMSE
0	0.2714186323
1	0.2694470869
2	0.267545889
3	0.2657287981
4	0.2636201216
5	0.2616579577
6	0.2595984606
7	0.2577421319
8	0.2555552664
9	0.2536145258
10	0.2517123888
11	0.2500349035
12	0.2483386461
13	0.2465814997
14	0.2448866479
15	0.2434240713
16	0.2417114991
17	0.2402694021
18	0.2387945425
19	0.2370744769
20	0.2356827095
21	0.2341725261
22	0.2327452485
23	0.2312767895
24	0.2298776302
25	0.2284331109
26	0.227001095
27	0.2255924007
28	0.2241194536
29	0.222734865
30	0.2213577838
31	0.2201868603
32	0.2188366612
33	0.2176437913
34	0.2163433433
35	0.2150741933
36	0.2137530062
37	0.212448051
38	0.2110864663
39	0.2101111175
40	0.208916724
41	0.2080092664
42	0.2068706435
43	0.2058450853
44	0.2048320381
45	0.2039192535
46	0.2028314212
47	0.2017053551
48	0.2007677152
49	0.199712387
50	0.1986645788
51	0.1976335484
52	0.1964852215
53	0.1954823309
54	0.1946033285
55	0.1935769291
56	0.1924571052
57	0.1915327862
58	0.1906810199
59	0.1897776013
60	0.1889713829
61	0.1880781915
62	0.1871586746
63	0.186478156
64	0.1858103195
65	0.1849474754
66	0.1842567021
67	0.1834751334
68	0.1827210036
69	0.1819731644
70	0.18114643
71	0.180571021
72	0.1797433525
73	0.1789429114
74	0.1781259102
75	0.1772419688
76	0.1764753635
77	0.1758458249
78	0.1750806954
79	0.1744594468
80	0.173866177
81	0.173293475
82	0.1727531721
83	0.1719673646
84	0.1713882165
85	0.1707403883
86	0.1701761312
87	0.1694315523
88	0.1689038889
89	0.1684386664
90	0.1676928638
91	0.16720314
92	0.1666691126
93	0.1660094928
94	0.165313802
95	0.1648235357
96	0.1641911043
97	0.1638127475
98	0.1633236297
99	0.1628488372
100	0.1623236958
101	0.1618734652
102	0.1613439644
103	0.1609846465
104	0.1606049438
105	0.1602623639
106	0.1595814031
107	0.1590919653
108	0.1587072459
109	0.1581929471
110	0.1576477558
111	0.1572418077
112	0.1568547327
113	0.1563779026
114	0.1560349543
115	0.1557466689
116	0.1553079174
117	0.1548988731
118	0.1543990178
119	0.154008732
120	0.1535828911
121	0.1532998778
122	0.1529816202
123	0.1526461495
124	0.1522701198
125	0.1519003495
126	0.1515774836
127	0.1511510404
128	0.1507760289
129	0.1502844021
130	0.1499715256
131	0.1497349531
132	0.1493635998
133	0.1490344904
134	0.1487946815
135	0.1485431747
136	0.148317309
137	0.1479373857
138	0.1476271251
139	0.1474059944
140	0.1471876977
141	0.1468199978
142	0.1465469642
143	0.1462268618
144	0.1459918071
145	0.1458456207
146	0.145686553
147	0.1454204737
148	0.1450823549
149	0.1447660037
150	0.1445154438
151	0.1442337703
152	0.143933978
153	0.1436973495
154	0.1434032886
155	0.1430479529
156	0.1428719014
157	0.1427028848
158	0.1425370575
