iter	Passed	Remaining
0	52	25529
1	58	14153
2	65	10641
3	75	9127
4	79	7659
5	82	6639
6	88	6034
7	97	5829
8	101	5416
9	106	5056
10	108	4702
11	113	4486
12	117	4288
13	120	4057
14	121	3832
15	123	3640
16	126	3499
17	128	3349
18	131	3238
19	133	3127
20	135	3015
21	138	2935
22	141	2851
23	143	2766
24	145	2690
25	147	2623
26	150	2560
27	152	2501
28	154	2445
29	156	2387
30	158	2335
31	161	2289
32	162	2240
33	164	2189
34	166	2143
35	169	2119
36	171	2089
37	174	2055
38	175	2018
39	177	1984
40	179	1951
41	181	1919
42	183	1891
43	184	1861
44	186	1832
45	188	1808
46	190	1785
47	192	1763
48	194	1741
49	196	1717
50	198	1693
51	199	1671
52	201	1651
53	203	1632
54	206	1618
55	208	1601
56	209	1584
57	211	1563
58	213	1546
59	214	1529
60	216	1513
61	218	1498
62	220	1482
63	221	1465
64	223	1451
65	225	1436
66	227	1426
67	229	1411
68	230	1397
69	232	1385
70	234	1371
71	235	1358
72	237	1345
73	240	1340
74	242	1332
75	246	1333
76	251	1338
77	256	1342
78	258	1336
79	260	1326
80	262	1317
81	266	1315
82	269	1313
83	273	1310
84	275	1301
85	277	1291
86	279	1282
87	280	1272
88	282	1262
89	284	1252
90	287	1250
91	290	1245
92	292	1237
93	294	1229
94	295	1219
95	297	1211
96	298	1202
97	301	1195
98	303	1188
99	304	1179
100	306	1170
101	307	1162
102	309	1153
103	311	1148
104	316	1152
105	321	1155
106	326	1161
107	330	1159
108	334	1161
109	336	1153
110	339	1151
111	342	1147
112	345	1142
113	346	1135
114	350	1132
115	352	1126
116	356	1127
117	358	1122
118	361	1117
119	363	1110
120	365	1106
121	367	1100
122	370	1095
123	372	1089
124	373	1082
125	375	1076
