nominal,data,curs,cdx
1,8/12/2025,79.6677,Доллар США
1,8/9/2025,79.7796,Доллар США
1,8/8/2025,79.3847,Доллар США
1,8/7/2025,80.1914,Доллар США
1,8/6/2025,80.0490,Доллар США
1,8/5/2025,79.6736,Доллар США
1,8/2/2025,80.3289,Доллар США
1,8/1/2025,80.3163,Доллар США
1,7/31/2025,81.8347,Доллар США
1,7/30/2025,82.2197,Доллар США
1,7/29/2025,79.5782,Доллар США
1,7/26/2025,79.5527,Доллар США
1,7/25/2025,78.8623,Доллар США
1,7/24/2025,78.4477,Доллар США
1,7/23/2025,78.0882,Доллар США
1,7/22/2025,78.3274,Доллар США
1,7/19/2025,78.3129,Доллар США
1,7/18/2025,78.1856,Доллар США
1,7/17/2025,77.9585,Доллар США
1,7/16/2025,77.9584,Доллар США
1,7/15/2025,78.3722,Доллар США
1,7/12/2025,77.8855,Доллар США
1,7/11/2025,77.9029,Доллар США
1,7/10/2025,78.1727,Доллар США
1,7/9/2025,78.1682,Доллар США
1,7/8/2025,78.7185,Доллар США
1,7/5/2025,78.8354,Доллар США
1,7/4/2025,78.7831,Доллар США
1,7/3/2025,78.6540,Доллар США
1,7/2/2025,78.4181,Доллар США
1,7/1/2025,78.5284,Доллар США
1,6/28/2025,78.4685,Доллар США
1,6/27/2025,78.2117,Доллар США
1,6/26/2025,78.1959,Доллар США
1,6/25/2025,78.3892,Доллар США
1,6/24/2025,78.2923,Доллар США
1,6/21/2025,78.5016,Доллар США
1,6/20/2025,78.4839,Доллар США
1,6/19/2025,78.7174,Доллар США
1,6/18/2025,78.7135,Доллар США
1,6/17/2025,78.5067,Доллар США
1,6/12/2025,79.0028,Доллар США
1,6/11/2025,78.6003,Доллар США
1,6/10/2025,79.1543,Доллар США
1,6/7/2025,79.1703,Доллар США
1,6/6/2025,79.1272,Доллар США
1,6/5/2025,78.5025,Доллар США
1,6/4/2025,78.8549,Доллар США
1,6/3/2025,79.1285,Доллар США
1,5/31/2025,78.6171,Доллар США
1,5/30/2025,78.4970,Доллар США
1,5/29/2025,79.6037,Доллар США
1,5/28/2025,79.6176,Доллар США
1,5/27/2025,79.6588,Доллар США
1,5/24/2025,79.7108,Доллар США
1,5/23/2025,79.7357,Доллар США
1,5/22/2025,79.7530,Доллар США
1,5/21/2025,80.3075,Доллар США
1,5/20/2025,80.4137,Доллар США
1,5/17/2025,80.7689,Доллар США
1,5/16/2025,80.3134,Доллар США
1,5/15/2025,80.2237,Доллар США
1,5/14/2025,80.5500,Доллар США
1,5/13/2025,80.8883,Доллар США
1,5/8/2025,80.8612,Доллар США
1,5/7/2025,80.9644,Доллар США
1,5/6/2025,81.9137,Доллар США
1,5/1/2025,81.4933,Доллар США
1,4/30/2025,81.5616,Доллар США
1,4/29/2025,82.5467,Доллар США
1,4/26/2025,82.6549,Доллар США
1,4/25/2025,82.8559,Доллар США
1,4/24/2025,82.3637,Доллар США
1,4/23/2025,81.4620,Доллар США
1,4/22/2025,80.7597,Доллар США
1,4/19/2025,81.1371,Доллар США
1,4/18/2025,82.0200,Доллар США
1,4/17/2025,82.5892,Доллар США
1,4/16/2025,82.3003,Доллар США
1,4/15/2025,82.7671,Доллар США
1,4/12/2025,84.0040,Доллар США
1,4/11/2025,85.0159,Доллар США
1,4/10/2025,86.0923,Доллар США
1,4/9/2025,85.4641,Доллар США
1,4/8/2025,86.1891,Доллар США
1,4/5/2025,84.2774,Доллар США
1,4/4/2025,84.3830,Доллар США
1,4/3/2025,84.5522,Доллар США
1,4/2/2025,84.8707,Доллар США
