id,name,developer,developer_inn,price_for_sqm,address,latitude,longitude,metro,metro_time,floors_min,floors_max,apartments,total_area,completion_date,start_date,escrow,problem_flag,rpd_number,region_num,developer_group,address_code
65899,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,182087.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,6,606.93,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65898,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,233238.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,7,710.41,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65897,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,208568.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,6,606.93,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65896,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,195517.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,8,839.32,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65895,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,183914.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,5,537.3,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
50687,"ЖК ""А101 Лаголово""",СЗ ЛАГОЛОВО-1,4706051212,173679.0,"ЛО, Деревня Лаголово",59.714,30.0705,,,10,10,82,3584.2,2025-09-30,2023-03-01,1,0,47-001045,47,46,2
50686,"ЖК ""А101 Лаголово""",СЗ ЛАГОЛОВО-1,4706051212,187934.0,"ЛО, Деревня Лаголово",59.7134,30.0694,,,10,10,85,3638.0,2025-09-30,2023-03-01,1,0,47-001045,47,46,2
50685,"ЖК ""А101 Лаголово""",СЗ ЛАГОЛОВО-1,4706051212,200410.0,"ЛО, Деревня Лаголово",59.7143,30.0694,,,10,10,83,3578.4,2025-09-30,2023-03-01,1,0,47-001045,47,46,2
50298,ЖК NEWПИТЕР лот 1 (уч.1),СЗ СТ-НОВОСЕЛЬЕ,4725483458,181637.0,"ЛО, городской поселок Новоселье",59.8076,30.0824,,,1,9,792,44710.8,2025-03-28,2023-01-31,0,0,47-001044,47,20,3
50116,Жилые кварталы Город звезд,СЗ СЭТЛ ЭСТЕЙТ,7810733993,162839.0,"ЛО, Деревня Новосаратовка",59.84,30.528,,,15,18,442,14556.1,2025-12-31,2023-01-20,1,0,47-001043,47,17,4
50031,ЖК РУБЕЖ,СЗ АЛЬТЕРНАТИВА,7805517242,12803.0,"ЛО, Городской поселок имени Свердлова",59.8004,30.6333,,,2,11,255,8017.5,2025-12-31,2023-01-17,1,0,47-001042,47,228,5
49708,,СПЕЦЗАСТРОЙЩИК ЛО 1,4705080620,102797.17121343095,"ЛО, г. Шлиссельбург, ул Леманский канал",59.9293,31.0328,,,9,10,173,8105.64,2024-02-28,2022-12-22,0,0,47-001041,47,4,6
49561,"Жилой комплекс ""Фотограф""",СЗ МАВИС-СТРОЙ,7807311180,204146.0,"ЛО, г. Мурино",60.0616,30.4447,Девяткино,18.1166666666667,16,16,898,40772.5,2025-12-31,2022-12-15,1,0,47-001040,47,165,7
49560,"Жилой комплекс ""Фотограф""",СЗ МАВИС-СТРОЙ,7807311180,173349.0,"ЛО, г. Мурино",60.0621,30.4425,Девяткино,22.9833333333333,16,16,556,27612.66,2025-12-31,2022-12-15,1,0,47-001040,47,165,7
49397,,СПЕЦЗАСТРОЙЩИК ЛО 1,4705080620,94558.27256217774,"ЛО, г. Каменногорск, ул Майская",60.953,29.1252,,,5,5,50,2276.74,2024-01-26,2022-12-09,0,0,47-001039,47,4,8
49237,"ЖК ""PORT""",СЗ ЙОНД.ШУШАРЫ,7802897518,188573.6087250004,"ЛО, п. Усть-Луга, кв-л Ленрыба",59.6636,28.2756,,,6,6,59,3072.5,2023-08-22,2022-11-29,0,0,47-001036,47,150,9
49236,"ЖК ""PORT""",СЗ ЙОНД.ШУШАРЫ,7802897518,184257.16265912945,"ЛО, п. Усть-Луга, кв-л Ленрыба",59.663,28.275,,,6,6,59,3076.0,2023-10-17,2022-11-29,0,0,47-001036,47,150,9
49235,"ЖК ""PORT""",СЗ ЙОНД.ШУШАРЫ,7802897518,162195.17703023626,"ЛО, п. Усть-Луга, кв-л Ленрыба",59.6632,28.276,,,6,6,74,3008.93,2024-05-30,2022-11-29,0,0,47-001036,47,150,9
49158,,СПЕЦЗАСТРОЙЩИК ЛО 1,4705080620,99676.71805615444,"ЛО, г. Волхов, ул Работниц",59.9248,32.2989,,,4,5,103,5276.54,2023-12-29,2022-11-23,0,0,47-001035,47,4,10
49072,"Жилой квартал ""IQ Гатчина""",СЗ УК ПЕТРОКОМИНВЕСТ,7838369279,193282.0,"ЛО, микрорайон Въезд",59.5763,30.1448,,,9,10,147,7978.23,2025-09-30,2022-11-18,1,0,47-001030,47,42,11
49071,"Жилой квартал ""IQ Гатчина""",СЗ УК ПЕТРОКОМИНВЕСТ,7838369279,160908.0,"ЛО, микрорайон Въезд",59.577,30.1455,,,9,10,158,8453.77,2025-09-30,2022-11-18,1,0,47-001030,47,42,11
49070,"Жилой квартал ""IQ Гатчина""",СЗ УК ПЕТРОКОМИНВЕСТ,7838369279,185563.0,"ЛО, микрорайон Въезд",59.5776,30.1459,,,9,10,211,11054.71,2025-09-30,2022-11-18,1,0,47-001030,47,42,11
48763,"ЖК ""Фотограф"" ",СЗ МАВИС-СТРОЙ,7807311180,143278.0,"ЛО, г. Мурино",60.0635,30.4431,Девяткино,10.95,14,16,1146,49432.15,2025-12-31,2022-11-01,1,0,47-001029,47,165,7
65893,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,238063.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,6,745.62,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65891,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,253937.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,5,627.27,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65888,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,251200.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,6,754.5,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65887,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,264340.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,5,627.27,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65885,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,267315.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,6,606.93,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65884,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,202791.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,4,395.32,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65883,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,210818.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,6,643.44,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65880,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,208605.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,6,763.38,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65879,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,217528.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,6,643.44,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65878,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,227777.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,4,503.0,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65876,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,212500.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,6,643.44,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65874,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,226440.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,3,381.69,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65873,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,223077.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,2,251.5,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65872,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,202722.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,4,503.0,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65867,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,196666.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,4,503.0,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65866,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,240921.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,7,878.77,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65862,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,210391.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,4,503.0,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65861,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,231870.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,6,941.16,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65859,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,219531.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,2,251.5,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65853,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,239676.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,2,251.5,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65852,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,189181.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,2,313.72,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65851,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,198850.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,2,313.72,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65849,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,202722.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,2,251.5,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65846,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,202840.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,2,313.72,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65844,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,228337.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,2,313.72,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
65843,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,192964.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,2,322.28,2027-06-30,2025-05-14,1,0,47-001241,47,2,1
