id,name,developer,developer_inn,price_for_sqm,address,latitude,longitude,metro,metro_time,floors_min,floors_max,apartments,total_area,completion_date,start_date,escrow,problem_flag,rpd_number,region_num,developer_group,address_code
50687,"ЖК ""А101 Лаголово""",СЗ ЛАГОЛОВО-1,4706051212,173679.0,"ЛО, Деревня Лаголово",59.714,30.0705,,,10,10,82,3584.2,2025-09-30,2023-03-01,1,0,47-001045,47,46,2
50686,"ЖК ""А101 Лаголово""",СЗ ЛАГОЛОВО-1,4706051212,187934.0,"ЛО, Деревня Лаголово",59.7134,30.0694,,,10,10,85,3638.0,2025-09-30,2023-03-01,1,0,47-001045,47,46,2
50685,"ЖК ""А101 Лаголово""",СЗ ЛАГОЛОВО-1,4706051212,200410.0,"ЛО, Деревня Лаголово",59.7143,30.0694,,,10,10,83,3578.4,2025-09-30,2023-03-01,1,0,47-001045,47,46,2
50298,ЖК NEWПИТЕР лот 1 (уч.1),СЗ СТ-НОВОСЕЛЬЕ,4725483458,181637.0,"ЛО, городской поселок Новоселье",59.8076,30.0824,,,1,9,792,44710.8,2025-03-28,2023-01-31,0,0,47-001044,47,20,3
50116,Жилые кварталы Город звезд,СЗ СЭТЛ ЭСТЕЙТ,7810733993,162839.0,"ЛО, Деревня Новосаратовка",59.84,30.528,,,15,18,442,14556.1,2025-12-31,2023-01-20,1,0,47-001043,47,17,4
50031,ЖК РУБЕЖ,СЗ АЛЬТЕРНАТИВА,7805517242,12803.0,"ЛО, Городской поселок имени Свердлова",59.8004,30.6333,,,2,11,255,8017.5,2025-12-31,2023-01-17,1,0,47-001042,47,228,5
49708,,СПЕЦЗАСТРОЙЩИК ЛО 1,4705080620,102797.17121343096,"ЛО, г. Шлиссельбург, ул Леманский канал",59.9293,31.0328,,,9,10,173,8105.64,2024-02-28,2022-12-22,0,0,47-001041,47,4,6
49561,"Жилой комплекс ""Фотограф""",СЗ МАВИС-СТРОЙ,7807311180,204146.0,"ЛО, г. Мурино",60.0616,30.4447,Девяткино,18.1166666666667,16,16,898,40772.5,2025-12-31,2022-12-15,1,0,47-001040,47,165,7
49560,"Жилой комплекс ""Фотограф""",СЗ МАВИС-СТРОЙ,7807311180,173349.0,"ЛО, г. Мурино",60.0621,30.4425,Девяткино,22.9833333333333,16,16,556,27612.66,2025-12-31,2022-12-15,1,0,47-001040,47,165,7
49397,,СПЕЦЗАСТРОЙЩИК ЛО 1,4705080620,94558.27256217774,"ЛО, г. Каменногорск, ул Майская",60.953,29.1252,,,5,5,50,2276.74,2024-01-26,2022-12-09,0,0,47-001039,47,4,8
49237,"ЖК ""PORT""",СЗ ЙОНД.ШУШАРЫ,7802897518,188573.6087250004,"ЛО, п. Усть-Луга, кв-л Ленрыба",59.6636,28.2756,,,6,6,59,3072.5,2023-08-22,2022-11-29,0,0,47-001036,47,150,9
49236,"ЖК ""PORT""",СЗ ЙОНД.ШУШАРЫ,7802897518,184257.16265912945,"ЛО, п. Усть-Луга, кв-л Ленрыба",59.663,28.275,,,6,6,59,3076.0,2023-10-17,2022-11-29,0,0,47-001036,47,150,9
49235,"ЖК ""PORT""",СЗ ЙОНД.ШУШАРЫ,7802897518,162195.17703023626,"ЛО, п. Усть-Луга, кв-л Ленрыба",59.6632,28.276,,,6,6,74,3008.93,2024-05-30,2022-11-29,0,0,47-001036,47,150,9
49158,,СПЕЦЗАСТРОЙЩИК ЛО 1,4705080620,99676.71805615444,"ЛО, г. Волхов, ул Работниц",59.9248,32.2989,,,4,5,103,5276.54,2023-12-29,2022-11-23,0,0,47-001035,47,4,10
49072,"Жилой квартал ""IQ Гатчина""",СЗ УК ПЕТРОКОМИНВЕСТ,7838369279,193282.0,"ЛО, микрорайон Въезд",59.5763,30.1448,,,9,10,147,7978.23,2025-09-30,2022-11-18,1,0,47-001030,47,42,11
49071,"Жилой квартал ""IQ Гатчина""",СЗ УК ПЕТРОКОМИНВЕСТ,7838369279,160908.0,"ЛО, микрорайон Въезд",59.577,30.1455,,,9,10,158,8453.77,2025-09-30,2022-11-18,1,0,47-001030,47,42,11
49070,"Жилой квартал ""IQ Гатчина""",СЗ УК ПЕТРОКОМИНВЕСТ,7838369279,185563.0,"ЛО, микрорайон Въезд",59.5776,30.1459,,,9,10,211,11054.71,2025-09-30,2022-11-18,1,0,47-001030,47,42,11
48763,"ЖК ""Фотограф"" ",СЗ МАВИС-СТРОЙ,7807311180,143278.0,"ЛО, г. Мурино",60.0635,30.4431,Девяткино,10.95,14,16,1146,49432.15,2025-12-31,2022-11-01,1,0,47-001029,47,165,7
56798,,СПЕЦЗАСТРОЙЩИК ЛО 1,4705080620,119228.0,"ЛО, г. Луга, ш Медведское",58.7142,29.8503,,,10,11,200,9280.46,2024-12-18,2023-12-28,0,0,47-001184,47,4,48
56797,,СПЕЦЗАСТРОЙЩИК ЛО 1,4705080620,119228.0,"ЛО, г. Луга, ш Медведское",58.7145,29.8509,,,10,11,100,4349.49,2024-12-18,2023-12-28,0,0,47-001184,47,4,48
56622,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,328332.0,"ЛО, п. Ленинское",60.2319,29.8565,,,2,2,6,606.93,2026-03-31,2023-12-22,1,0,47-001180,47,2,49
56621,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,228252.0,"ЛО, п. Ленинское",60.2324,29.8563,,,2,2,6,643.44,2026-03-31,2023-12-22,1,0,47-001179,47,2,49
56620,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,264421.0,"ЛО, п. Ленинское",60.2318,29.8558,,,2,2,8,809.24,2026-03-31,2023-12-22,1,0,47-001178,47,2,49
56618,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,239769.0,"ЛО, п. Ленинское",60.2322,29.8551,,,2,2,7,710.41,2026-03-31,2023-12-22,1,0,47-001177,47,2,49
